big,katta,katta
big,qapta,katta
short,kalta,kalta
short,kalta,kølta
short,kalta,kałta
short,kʲelte,kalta
short,kʲelte,kølta
short,kʲelte,kałta
short,kelte,kalta
short,kelte,kølta
short,kelte,kałta
short,kʲeltʲe,kalta
short,kʲeltʲe,kølta
short,kʲeltʲe,kałta
short,kɛlte,kalta
short,kɛlte,kølta
short,kɛlte,kałta
short,qałta,kalta
short,qałta,kølta
short,qałta,kałta
short,kałta,kalta
short,kałta,kølta
short,kałta,kałta
narrow,tar,tɔr
narrow,tɔr,tɔr
narrow,tɒr,tɔr
narrow,tar̯,tɔr
narrow,taʃ,tɔr
person,adam,ɔdam
person,adam,ɔdamzɔt
person,ɔdam,ɔdam
person,ɔdam,ɔdamzɔt
wife,zajif,zajif
mother,ana,ɔna
mother,ɛnɛ,ɔna
mother,enɛ,ɔna
mother,apa,apa
mother,ɛne,ɔna
mother,ɒpa,apa
mother,ɔna,ɔna
father,ata,ɔta
father,ɒta,ɔta
father,ɔta,ɔta
father,ota,ɔta
animal,hajβɔn,hajvɔn
animal,hajβɔn,hajvʊn
animal,hajβɔn,hajwon
animal,hajβɔn,hajvun
animal,hajβɔn,hajβɔn
animal,hajβɔn,hajwɔn
animal,hajβɔn,hajvɔ̃n
animal,hajβɔn,hajvon
animal,hajvon,hajvɔn
animal,hajvon,hajvʊn
animal,hajvon,hajwon
animal,hajvon,hajvun
animal,hajvon,hajβɔn
animal,hajvon,hajwɔn
animal,hajvon,hajvɔ̃n
animal,hajvon,hajvon
animal,hajwan,hajvɔn
animal,hajwan,hajvʊn
animal,hajwan,hajwon
animal,hajwan,hajvun
animal,hajwan,hajβɔn
animal,hajwan,hajwɔn
animal,hajwan,hajvɔ̃n
animal,hajwan,hajvon
animal,ajvan,hajvɔn
animal,ajvan,hajvʊn
animal,ajvan,hajwon
animal,ajvan,hajvun
animal,ajvan,hajβɔn
animal,ajvan,hajwɔn
animal,ajvan,hajvɔ̃n
animal,ajvan,hajvon
animal,ajβan,hajvɔn
animal,ajβan,hajvʊn
animal,ajβan,hajwon
animal,ajβan,hajvun
animal,ajβan,hajβɔn
animal,ajβan,hajwɔn
animal,ajβan,hajvɔ̃n
animal,ajβan,hajvon
animal,hajβan,hajvɔn
animal,hajβan,hajvʊn
animal,hajβan,hajwon
animal,hajβan,hajvun
animal,hajβan,hajβɔn
animal,hajβan,hajwɔn
animal,hajβan,hajvɔ̃n
animal,hajβan,hajvon
animal,hajwɒn,hajvɔn
animal,hajwɒn,hajvʊn
animal,hajwɒn,hajwon
animal,hajwɒn,hajvun
animal,hajwɒn,hajβɔn
animal,hajwɒn,hajwɔn
animal,hajwɒn,hajvɔ̃n
animal,hajwɒn,hajvon
animal,hajwɔn,hajvɔn
animal,hajwɔn,hajvʊn
animal,hajwɔn,hajwon
animal,hajwɔn,hajvun
animal,hajwɔn,hajβɔn
animal,hajwɔn,hajwɔn
animal,hajwɔn,hajvɔ̃n
animal,hajwɔn,hajvon
animal,hajvɔn,hajvɔn
animal,hajvɔn,hajvʊn
animal,hajvɔn,hajwon
animal,hajvɔn,hajvun
animal,hajvɔn,hajβɔn
animal,hajvɔn,hajwɔn
animal,hajvɔn,hajvɔ̃n
animal,hajvɔn,hajvon
fish,bɒləq,balək
fish,baləq,balək
fish,balɜq,balək
fish,balɨq,balək
fish,balɛq,balək
bird,qʊs,kuʃ
bird,qʉs,kuʃ
bird,kʉs,kuʃ
bird,kʊs,kuʃ
bird,ʧimʧiq,ʧɪmʧɪk
bird,ʧimʧiq,ʧumʧuq
bird,kuʃ,kuʃ
bird,ʧimʧik,ʧɪmʧɪk
bird,ʧimʧik,ʧumʧuq
bird,ʤimʧiq,ʧɪmʧɪk
bird,ʤimʧiq,ʧumʧuq
bird,ʤimʧik,ʧɪmʧɪk
bird,ʤimʧik,ʧumʧuq
bird,kus,kuʃ
bird,kʊʃ,kuʃ
bird,qʉʃ,kuʃ
bird,paranda,paranda
bird,paranda,parandan
bird,paranda,parənda
dog,kəʧək,kuʧuk
dog,kəʧək,kʧøk
dog,kəʧək,kʧok
dog,kəʧək,kuʧik
dog,kəʧək,kʊʧuk
dog,kəʧək,kyʧyk
dog,kʊʧuk,kuʧuk
dog,kʊʧuk,kʧøk
dog,kʊʧuk,kʧok
dog,kʊʧuk,kuʧik
dog,kʊʧuk,kʊʧuk
dog,kʊʧuk,kyʧyk
louse,bit,bit
louse,pit,bit
louse,ptʲe,bit
louse,ʃubəʃ,ʃabuʃ
louse,ʃubəʃ,ʃaβuʃ
louse,ʃubəʃ,ʃipəʃ
louse,ʃubəʃ,ʃəpʃ
louse,ʃubəʃ,ʃapuʃ
louse,ʃubəʃ,ʃəpəʃ
louse,ʃubəʃ,ʃabuʃk
louse,ʃubəʃ,ʃpəʃ
louse,ʃubəʃ,ʃubuʃk
louse,ʃubəʃ,sabəsk
louse,ʃubəʃ,ʃabəʃ
louse,ʃubəʃ,ʃaβəʃ
louse,ʃubəʃ,ʃʉbyʃ
louse,ʃubəʃ,ʃabyʃ
