concept;turkic;iranian
small;kiʃkɪnʲe / kiʃkʲene / kiʃkʲenʲe / kiʃkenʲe / kiʃkenʲe / kiʃkɪnʲe / azlaq / kɪʃkʲenʲe / kəʃkʲentɛ / kɨʃkʲentaj / kɪʃkʲɛntaj / kiʧinɛ / kiʧinɛ / kiʧinɛke / kiʧinɛ / kiʧinɛ / kiʧinɛ / kiʧinɛ / kiʧinɛ / kiʧinɛ / kiʧik / kiʧinɛ / kiʧinɛgɛ / kiʧinʲɛ / kiʧinɛ / kiʃkʲɛntaj / kiʃkene / kiʃkantaj / kiʧkene / kiʃkenʲe / kiʃkene / kiʃkʲentaj / kiʃkinʲɛ / kiʃkinɛ / kiʃkʲenʲɛ / kiʃkʲɛntaj / kiskinʲɛ / kiʧkenʲɛ / kiskinʲɛ / kiʧik / kiʧik / kiʧkɪnɛ / kiʧkɪnɐ / kɪʧkina / kɪʧɪk / kɪʧɪk / kɪʧkina / kʧik / kiʧik / ;xuld / majda / majda /  / majda / majdahak / majda / majdahak / majdahak / majdahak / majda /  / majda / majda / majda / xʊd̥ / majda / majda /  / majda / xʊrd / majda / majda / majda / majda / majdik / majda / xʉrd / majda / majda / majdajak /  / majda / majda / majdak / majdahak / majdahak / majda / majda / 
short;qɨsqa / qəsqa / qsxa / qsqa / qɨsqa / qɨsqa / qɨsqa / qɨsχa / qəsχa / qɨsqa / qɨsχa / qɨsqa / qɨsqa / qɨsqa / qɨsqa / qɨsqa / qɨsqa / qɨsqa / qɨsqa / qɨsqa / kalta / kalta /  / qɨsqa / qɨsqa / qɨsxaʃa / qɨsxa / qɨsxa / qɨsqa / qɨsqa / qɨsqa / kʲelte / kelte / qɨsχa / kʲelte / kʲeltʲe / qɨsqa / kɛlte / qɨsqa / kalta / kalta / kalta / kalta / qałta / qs̩ka / qs̩ka / qs̩ka / kałta / kalta / ;kutɔh / kytɔh / kalta / mazik / kølta / kalta / kalta / kalta /  / kalta / kutɔh / kutɔh / kalta / kalta / kutɔh / kutah / kutah / kałta / kalta / kutɔh / kutɔh / kutah /  / kalta / kalta / kalta / kutɔh / kutɔh / kałta / kutɔh / kutɔh / kalta / kalta / kalta /  / kalta / kalta / kalta / kalta / 
narrow;tar / ʒiŋʃkʲe / tar / tar / tar / tar / ʒiŋʃkʲe / tar / tar / tar / tar / iʧkɛ / iʧkɛ / iʧkɛ / tar / kʊːʃ / kuːʃ / kuːʃ / tar / tar / tɔr / tɒr / tar̯ / taʃ / iʧkɛ / ʒiŋiʃkʲe / ʊzʊn / ʒiŋiʃkʲe / tar / tar / tar / tar / ʒiŋʃke / ʒiŋʃke / tar / uzun / tar / tar / tar / ingiʧka / tɔr / tɔr / iŋiʧkɐ / qs̩ka / qs̩ka / ingiʧka / ingiʧka / tɔr / tɔr / ;taŋ / bɔrik / taŋk / bɔrik / bɔrik / tank / tɔr / borʲik / kam / kam / taŋ˳ / bɔrik / bɔrik / bɔrik / bɔrik / taŋ / bɔrik /  / pɔrik / bɔrik / pɔrik / bɔrik / taŋ / tɔr / kutɔh / taŋ / taŋ / taŋ / boˑrik / boˑrik / taŋ˳ / kalta / borik / kambar / hɔrd / tank / tank / tank / tank / 
thin;ʒiŋʃkʲe / ʒʉqa / ʒoqa / ʒʉqa / ʒʉqa / ʒʉqa /  / ʒʊχa / ʒʊqa / ʒɪmɨʃkʲe / ʒɪmʃkʲe / ʤuqa / iʧkɛ / iʧkɛ / iʧkɛ / iskɛ / iʧkɛ / iʧkɛ / iʧkɛ / ʤuqa / ʒʲuka /  /  / ʤuka / ʤuqa / ʒuqa / tʊmbaq / ʒuqa / ʤuɣa / ʒɨŋʃkɪ / jupqa / ʒʊqa / ʒiŋʃke / ʒiŋʃkine / ʃʊqa / ʒɨŋʃkine / ʤuqa / ʤoqa / ʤiŋiske / majin /  / iŋiska / jupka / ingiʧka / jypqa / jypqa / jypqa / jypqa / ingiʧkə / ;bɔrik / tunuk / tunuk /  /  / bɔrik / bɔrik / borʲik / bɔrik / bɔrik / tunuk / tunuk / bɔrik / bɔrik / tunuk / pɔrik / paʧəq /  /  / bɔrik / pɔrik / tʉnʉk / xarɔp / bɔrik / bɔrik / bɔri / bɔrik / bɔrik / xarob̥ / xarob̥ / bɔrik / bɔrik / tunuk / xarɔb̥ / tunuk / bɔrik / boˑrik / boˑrik / borik / 
woman;ajɪł / ajɪł / ajɪł / ajɪl / ajɪl / ajɪl / ajel / ɛjɪl / ajɪl / ajɪl / hajel / ajal / ajal / ajal / ajal / ajal / ajal / ajal / ajal / ajal / ajal / ajal / ajal / ajal / ajal / hajal / hajal / ajal / ajel / hajal / ajal / hajal / hajal / hajal / hajal / hajal / ajel / ajel / ajel / ajɔl / ajɔl / ajɔl / ajɔl / ajɔł / ajɔł / ajɔł / xɔtɨn / ajɔł / ajɔl / ;zan / zajif / zajif / zajif / zajif / zanak / zan / zanak / zanak /  / zanak / zanak / zanak / zanak / zan / zan / zanak / zan / zan / zan / zan / zanak / zanak / zan / zanak / zan / zan / zan / zanak / zanak / zan / zanak / zajif / zan / zaifa / zaifa / zaifa / zaifa / zaifa / 
man;jɪrkek / jɪrkek / jɪrkɪk / jɪrkek / jɪrkek / jɪrkek / jɪrkɪk / jɛrkek / jer / jerkɛk / jɛr / erkɛk / erkɛk / ɛrkɛk / jerkek / jɛrkɛk / ɪrkɛk / ɛrkɛk / ɛrkɛk / ɛrkɛk / ɪrkɛk / ɪrkɛk / ɪrkek / ɪrkɛk / ɛrkɛk / jer / jer / jɪrkek / jerkɛk / jerkɛk / erkæk / jɛr / jerkɛk / jer / jer / jerkek / jerkɛk / jerkɛk / jerkɛk / ɛrkak / ɪrkak / ɪrkɛk / erkɛk / jerkak / erkak / erkæk / erkæk / ɪrkak / ɪrkak / ;mard / mardak / mard / mard̥ / mard̥ / mardak / mard / mardak / mardak / mardak / mard / mardak / mard / mardak / mard / mard / mardak /  / mard / mard / mard / mardak / mardak / mard / mardak / mardak / mard / mard / mardak / mard / mard / mardak / mard / mard̥ / mardak / mɔrtit / mɔrtit / mʊrti / mardak / 
person;adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / kiʃe / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / adam / insan / adam / adam / insan / adam / adam / adam / adam / adam / adam / ɔdam / insɒn / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ;ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdamzɔt / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / ɔdam / 
child;naristʲe / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bɒla / bala / bala / bala / bala / bala / bɒla / bɒla / bɒlɒ / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bala / bola / bɔla / bɔla / bɔla / bɔla / bɔla / bɔla / bɔla / bola / bola / ;gʊdak / gødak / baʧa / baʧa / baʧa / kudak / gudak / kudak / lulak / kudak / kudak / kudak / kudak / kudak / kudak / kudak / kudak / baʧa / baʧa / kudak / kudak / kudak / baʧa / baʧa / baʧa / baʧa / baca / baʧa / baʧa / kudak / kudak / baʧa / baʧa / baʧa / kudak / pulla / pulla / pʊlla / kudak / 
wife;ajɪł / ajɪł / ajɪł / ajɪl / qatɪn / ajelə /  / ɛjɪl / qatɨn / qatɨn / hajel / ajal / ajal / ajal / aja / ajal / ajal / ajal / ajal / ajal / katɨn / xɔtɨn / ajal / ajal / ajal / hajal / hajal / ajal / ajel / hajalɨ / qatɨn / hajal / zajif / qatɨn / hajal / hajɪle / xatɨn / ajel / ajel / xɔtɪn / xɔtɨn / xɔtɨn / xɔtɨn / xɔtɪn / xɔtɪn / xɔtən / xɔtɪn / xotɨn / xɔtɨn / ;zan / zan / zan / zajif / zan / zan / zan / zan / zan / zan / zan / zanak / zan / zan / zan / zan / zan / zan / zan / zanak / zan / zan / zan / zan / zanak / zan / zan / zan / zan / zan / zan / zan / zajif / zan / inʧ / inʧ / inʧ / inʧ / inʧ / 
husband;kyjəw / jɪrkek / bajɪm / kʉjew / kʉjew / kʉjwə / kɨjəw / jɪrkɛk / kʉjəwɪ / jer / jer / kyjœː / gyjøː / ɛr / kyjœː / kyjøː / gyjøː / gyjøː / gyjøː / gyjøː / er / er / ɪrkɛk / eʃ / kyjøː / jer / jer / jer / kʉjʊw / kʉjəwɨ / jɛr / jɛr / kɪjʊ / jer / kɪjʊ / kɪjʊvɐ / jer / kɪjʊ / kɪjʊ / er / ɛrrɛ / er / er / jer / jer / jer / jer / er / er / ;ʃuː / ʃawhar / ʃøː / mard / mard / ʃuː / ʃʊw / ʃuː / ʃʊː / ʃuː / mard̥ / ʃawhar / mard / ʃuː / mardina / ʃawhar / mard / ʃʉj / mard / mardak / ʃawhar / ʃʊː / ʃuː / ʃuː / ʃuː / mard / mard / ʃʊj / mardak / mardak / mardak / mardak / ʃʉj / ʃʉj / vir / vir / vir / vir / vir / 
