concept;turkic;iranian
mother;ana / ʃɪʃe / ana / ana / ana / ana / ana / ana / ana / ana / ana / ɛnɛ / ɛnɛ / ɛnɛ / enɛ / apa / ɛne / enɛ / ɛne / ɛne / ɛnɛ / ɒpa / enɛ / ɒpa / ɛnɛ / ana / ana / ana / ana / ana / ana / ana / ana / ana / ana / ana / ana / apa / ana / ɔna / ɔna / ɔna / ɔna / ɔna / ɔna / ɔna / ɔna / ɔna / ɔna / ;mɔdar / mɔdar / biː / ɔna / biː / buβa / modar / modar / buva / buwa / ɔʧa / ɔʧa / mʊdar / mɔdar / mɔdar / mɔdar / aʧa / ɔna / ɔna / ɔʧa / mɔdar / aʧa / bøvi / bəvə / bøvø / mɔdar / ɔca / mɔdar / ɔʧa / mɔdar / mɔdar / apa / ɔna / ɔna / ɔʧa / ɔʧa / ɔʧa / ɔʧa / ɔʧa / 
father;akʲe / akʲe / akʲe / akʲe / akʲe / akʲe / akʲe / akʲe / akʲe / akʲe / ata / ata / ata / ata / ata / ata / ata / ata / ata / ata / ata / ɒta / ata / ata / ata / akʲe / akʲe / aɣa / ata / akʲe / ata / akʲe / akʲe / akʲe / akʲe / akʲe / aɣa / akʲe / akʲe / ɔta / ɔta / ɔta / ɔta / ɔta / ɔta / ɔta / ɔta / ɔta / ota / ;padar / padar / dada / dada / dada / dada / padar / padar / padar / dada / padar / padar / padar / padar / padar / padar / avvɔ / dada / dada / padar / padar / aβɔ / dødɔ / dɔdɔ / dada / padar / dɔdɔ / padar / padar / padar / padar / dɔdɔ / ɔta / ɔta / dɔdɔ / dɔdɔ / dɔdɔ / dɔdɔ / dɔdɔ / 
animal;ʒanwar / hajβɔn / maw / ʒanwar / ʒanwar / mal / hajvon / ʒanɨβar / ʒanβar / hajwan / hajwan / mal / ajvan / mal / ʤanɨβar / mal / ʤanɨβar / ajβan / mal / ʤanɨβar / ʒanɨβar / hajβan / ajβan / hajβan / ajvan / hajwɒn / hajwɒn / hajwɒn / hajwɔn / hajwɒn / hajwɒn / hajwɒn / hajwan / hajwɔn / hajwan / hajwan / hajwɔn / hajwan / hajvɔn / hajvɔn / hajβɔn / hajvɔn / hajwɔn / hajwɔn / hajvɔn / hajwɔn / hajvɔn / hajvɔn / hajvɔn / ;hajvɔn / hajvɔn / hajvɔn / hajvɔn / hajvɔn / hajvʊn / hajvʊn / hajwon / hajvɔn / hajvun / hajvɔn / hajvɔn / hajvɔn / hajβɔn / hajvɔn / hajvɔn / hajwɔn / hajvɔn / zindene / hajβɔn / hajvɔn / hajvɔn / hajwɔn / hajβɔn / hajvɔn / hajvɔn / hajvɔn / hajvɔn / hajvɔn / hajvɔn / hajvɔn / hajvɔ̃n / hajvɔn / hajvɔn / hajvɔn / hajvɔn / hajvon / hajvɔn / hajvʊn / 
fish;bɒləq / baləq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɨq / balɨq / balɨq / balɨq / balɨq / balɨq / balɨq / balɨq / balɨq / balɨq / balɨq / balɜq / balɨq / balɨq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɜq / balɨq / balɨq / balɜq / balɜq / baləq / balɜq / balɜq / balɜq / balɛq / balɨq / ;mɔhi / mahi / mɔhi / mahi / mahi / maji / mɔhi / mahi / mahi / mahi / mɔhiː / mɔhiː / mɔhiː / mahiˑ / mɔhi / mahi / mɔhi / mahi / maji / mɔhi / mɔhi / mahi / mahiˑ / balək / mɔhi / mɔhi / mɔhɪ / mɔhɪ / mɔhɪ / mɔhɪ / mɔhi / mɔhi / mahi / mahi / mahiː / mɔhiː / mɔhiː / mɔhiː / mahiː / 
bird;qʊs / qʊs / qʊs / qʉs / qʊs / qʊs / qʊs / kʉs / qʊs / kʊs / kʊs / ʧimʧiq / kuʃ / qanattø / qanattuː / kuʃ / ʧimʧik / ʤimʧiq / ʧimʧik / ʤimʧik / kuʃ / kuʃ / kuʃ / kuʃ / ʧimʧik / qʊs / qʊs / qʊs / kus / kus / kuʃ / kus / qʊs / qʊs / qʊs / qʊs / kʊʃ / qʉʃ / qʉs / kuʃ / paranda / paranda / kuʃ / kʊʃ / kʊʃ / kʊʃ / kʊʃ / kuʃ / kuʃ / ;paranda / parandan / parənda / murɣ˳ / kuʃ / paranda / paranda / kuʃ / paranda / paranda / paranda / paranda / paranda / paranda / paranda / paranda / paranda / murəɣ˳ / gundiʃk / mʊrɣ˳ / paranda / paranda / paranda / ʧɪmʧɪk / paranda / paranda / paranda / paranda / paranda / paranda / paranda /  / paranda / ʧumʧuq / siʧa / siʧa / siʧa / siʧa / siʧa / 
dog;it / it / it / it / it / it / it / it / it / it / it / itʲ / itʲ / it / it / itʲ / itʲ / itʲ / itʲ / itʲ / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / it / kəʧək / kʊʧuk / kʊʧuk / kʊʧuk / it / it / ;kuʧuk / sak / kuʧuk / kuʧuk / kuʧuk / kʧøk / sak / sag˳ / sak / kʧok / sag˳ / sag / sag˳ / sag˳ / sag / sag˳ / sag / kuʧuk / kuʧuk / sag / sag / sag˳ / kuʧik / kuʧuk / kuʧuk / sag˳ / sag˳ / sag˳ / kʊʧuk / sag / sag˳ / kyʧyk / kuʧuk / kuʧuk / kʊt / kʊt / kʊt / kʊt / kʊt / 
louse; / bit / bit / bit / bit / bit / bit / pit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / pit / pit / pit / pit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / bit / ptʲe / ʃubəʃ / bit / pit / pit / pɪt / bɪt / pɪt / bɪt / bit / bit / ;ʃabuʃ /  / ʃaβuʃ /  / ʃaβuʃ /  / bit /  / ʃipəʃ / ʃəpʃ / ʃapuʃ / ʃəpəʃ /  /  /  / ʃabuʃk / ʃpəʃ /  / ʃubuʃk / ʃpəʃ /  / ʃəpəʃ / ʃøʃ / ʃyʃ /  / sabəsk / ʃabəʃ / ʃaβəʃ / ʃʉbyʃ / ʃabuʃ / ʃabyʃ / ʃəbyʃ / ʃubuʃk / ʃubuʃk /  / ʃʊpʊʃ / ʃupuʃ / ʃʊpʊʃ / ʃʊpʊʃ / 
butterfly;kʊbʲelɛk / købʲelʲɛk / kubʲelʲɛk / kʊbʲelʲɛk / kʊbʲelʲɛk / købʲelʲɛk / købʲelʲɛk / købelʲek / købʲelʲɛk / købʲelʲɛk / købʲelʲɛk / køpøløk / køpøløk / gøpøløk / køpøløk / køpøløk / køpøløk / køpøløk / køpøløk / gøpøløk / køpølɛk / køpølɛk / køpølɛk / køpølɛk / køpøløk / gʊbʲelʲɛk / gʊbʲelʲek / gʊbʲelʲɛk / gøbʲelɛk / gøbʲelʲɛk / kapalak / gøbʲelʲɛk / gøbølʲøk / gʊbʲelʲɛk / gʊbʲelʲɛk / gʊbʲelʲɛk / kapalɛk / kapalɛk / købʲelʲek / kapalak / kapalæk / ʧapalak / kapalɛk / kapalak / kapalak / kapalak / kapalak / kapalak / kapalak / ; /  /  /  /  /  /  /  /  /  / paʃaprək / paʃaprək / paʃaprʊk / paʃaparak / paʃaparʉk / ʃaparak / paʃaparək /  / ʃapalak / paʃaparək / paʃaparʉk / paʃaparək /  /  /  / ʃaparak / ʃaparak / ʃaparak / ʃaparak /  / ʃaparak /  / ʃapalak / kapalak / ʃaparak / ʃaparak / saparak / saparak / ʃaparak / 
snake;ʒɨlan / ʒəlan / ʒəlan / ʒəlan / ʒəlan / ʒəlan / ʒlan / ʒɪlan / ʒɪlan / ʒlan / ʒlan / ʤɨlan / ʤɨlan / ʤɨlan / ʤɨlan / ʤɨlan / ʤɨlan / ʤɨlan / ʤɨlan / ʤɨlan / ʤɪlan / ʤɪlan / ʒɨlan / ʤɨlan / ʤɨlan / ʒɪlan / ʒlan / ʒɨlan / ʒɪlan / ʒɨlan / ilan / ʒɨlan / ʒlan / ʒlan / ʒəlan / ʒlan / ilan / ʤilan / ʤɪlan / ilɔn / ilɔn / ilɔn / ilɔn / ilɔn / ilɔn / ilɔn / ilɔn / ilɔn / ilɔn / ;mɔr / mɔr / mɔr / mɔr / mɔr / mor / mɔr / mɔr / mɔr / mɔr / mɔr / mʊr / mɔr / mʊr / mɔr / mɔr / mɔr / mɔr /  / mɔr / mɔr / mɔr / mur / mur / mur / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mɔr / mʊr / 
worm;qurt / qurt / qurt / qurt / qurt / qurt /  / qʊrt / qʊrt / qʊrt / qʊrt / sølʤan / sølʤan / sølʤɨlan / qurt / kurt / kurt / arbaq / qurt / kurt / qurt / ilanʧuβak / qurt / ʧuβalʧaŋ / kurt / qʊrt / ʒɔːŋɣʊrt / qʊrt / qʊrt / qʊrt / ʧʊβalʧaŋ / qʊrt / qʊrt / qʊrt / qʊrt / qʊrt / qʊrt / qʊrt / qʊrt / qurt / ʧuβalʧaŋ / ilanʧuβan / ilɔnʧuβan / kʊrt / ʧʊwalʧaŋ / ʧʊwalʧaŋ /  / qurt / qurt / ;kirm / kirm / kirm / kirm / kirm / kirəm / kirəm / ʧuwalʧaŋ / kirəm / kirm̩ / kirm / kirm̩ / kirəm / kərəm / kirəm / kirm / kərəm / kirim / kirm / kirm̩ / kirm̩ / kirm̩ / kərəm / kr̩m / kərəm /  / kirm / kirm / kirm / kirm / kɪrm /  / kirm / krɪm /  / kirm / kirm / kirm / kirm / 
tree;aɣaʃ / aɣaʃ / aɣaʃ / aɣaʃ / daraq / aɣaʃ / daraq / aɣaʃ / aɣaʃ / aɣaʃ / aɣaʃ / baq / baq / baq / baq / baq / daraq / baq / baq / baq / daraq / darax / darax / daraq / daraq / tʲerɛk / tʲerek / tʲerɛk / tʲerɛk / tʲerɛk / daraxt / tʲerek / daraq / tʲerek / tʲerɛk / tʲerɛk / daraxt / tʲerɛk / tʲerɛk / daraxt / daraxt / daraxt / darax / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / ;daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / dəraxt / daraxt /  / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / daraxt / 
forest;wɔrman / wʊrmon / urman / urman / wɔrman / wɔrman / wɔrman / tɔɣɔj / tɔɣɔj / wʊrman / tɔɣɔj / tɔqɔj / tɔqɔj / tɔqɔj / tɔqɔj / tɔqɔj / tɔqɔj / tɔqɔj / tɔqɔj / tɔqɔj / tɔqɔj / wɔrman / urman / tɔqɔj / tɔqɔj / tɔɣɔj / tɔɣaj / tɔɣɔj / tɔɣɔj / tɔɣaj / ʊrmɔn / toɣɔj / toɣɔj / toɣɔj / tɔɣɔj / tɔɣɔj / wurman / tʊɣaj / tʊɣaj / ʉrmɔn / urmɔn / urmɔn / urmɔn / ʊrmɔn / ʊrmɔn / urmɔn / urmɒn / yrmɔn / ʉrmɔn / ;bʲeʃa / urmʊn / yrmʊn / ørmɔn / ørmɔn / urmɔn / urmɔn / murmʊn / urmʊn / urmʊn / ʤangal / ʤangał / ʤangal / ʤangal / ʤangal / ʤangal / ʤangal /  / ʉrmɔn / ʤangal / ʤangal / ʤangal / urmɔn / urmɔn / daraxzɔr / ʤangal / ʤangal / ʤangal / ʤangal / ʤangal / ʤangal / ʤangal / ʉrmɔn / ʉrmɔn / ʤangal / ʤangal / ʤangal / ʤangal / ʤangal / 
stick;tajaq / tajaq / tajaq / tajaq / aɣaʃ / tajaq / aɣaʃ / tajaq / tajaq / tajaq / tajaq / tajaq / tajaq / tajaq / tajaq / sɔjl / tajaq / tajaq / ʤɨgaʧ / tajaq / tajak / ʤiɣaʧ / ʤiɣaʧ / ʤiɣaʧ / ʤɪgaʧ / aɣaʃ / aɣaʃ / tajaq /  / aɣaʃ / tajaq / tajaq / tajaq / tajaq / tajaq /  / tajaq / tajaq / tajaq / tajɔq / tajɔq / tajɔq / ʧʉpak / tajɔq / tajɒq / tajɔq / ʧʊp / tajɔq / tajɔq / ;ʧup / tajɔq / tajɔq / xɔda / kaltak / nauda / tajɔq / tajɒq / ʃɔx / kaltak / ʧup / ʧup / ʧup / dasta / ʧub / dangal / tɪjɔq / ʧʉp / ʧʉp / ʧupdast / kaltak / dangal / kaltak / kaltak / kaltak / ʧɔp / assɔ / kaltak / assɔ / assɔ / kaltak / assɔ / tajɔq / ʧʉp / dɔrk / kaltak / dɔrk / kaltak / dɔrk / 
fruit;ʒʲemɪs / ʒemɪs / ʒɪms / ʒimɪs / ʒimɪs / ʒemɪs / ʒemɪs / ʒʲemɪs / ʒʲemɪs / ʒʲemɪs / ʒʲemɨs / ʤemɪʃ / ʤemɪʃ / ʤemɪʃ / ʤemɪʃ / ʤemɪʃ / ʤemɪʃ / ʤemɪs / ʤemɪs / ʤemɪs / mʲɪva / mʲɪva / mʲevʲe /  / ʤemɪʃ / miβø / miβø / miβø / miva / miwe / ʒemɪs / mʲɪβe / miβø / miβø / miβe / miβe / mʲɪvø / mʲɪβe / mʲɪve / mʲeva / mʲɪva / mʲɪva / mʲɪva / mɪva / mɪva / mɪva / mɪva / mʲeva / mʲeva / ;mʲeva / meva / mʲeva / mʲeva / mɪva / meva / meva / mʲeva / mʲeva / miva / meva / meva / meva / meva / meva / mɪva / meva / zardolo / zaldorʊ / meva / meva / meva / mʲeva / mʲeva / mʲeva / meva / meva / meva / meva / meva / meva / meva / meva / meva /  / meva / mɪva / mɪva / mɪva / 
seed;dæn / tuxum / uruq / dan / dæn / dæn / txʊm / txɨm / txʊm / txʊm / tqʊm / yrøn / arpa / arpa / yrøn / uruq / uruq / uruq / yrøn / uruk / uruk / uruk /  /  / uruk / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / txʊm / urux / uruɣ˳ / uruk / uruk / urux / urux / uruɣ˳ / uruɣ / urux / uruɣ˳ / ;tuxmi / urux / txum /  / urux / urɔk / uruk / urux / urux / urʊx / tuxmi / semeʧka / dɔnagi / tuxmi /  / txm̩ / tuxmi / urux /  / tuxmi / tuxmi /  / dɔn / txum / dɔn / tʊxm /  / tʊxm / tuxm /  / təxm /  / urux / tuxum / ɣala / ɣala / tʊxm / tuxmi / tuxəm / 
leaf;ʒapraq / parak / ʒaprax / ʒapraq / ʒapraq / ʒapraq / ʒapraq / ʒaprak / ʒaprak / ʒaprak / ʒaprak / ʤalbɨrak / ʤalbɨrak / ʤalbɨraq / ʤalbɨraq / ʤalbɨraq / ʤalbɨrak / ʤalbɨrak / ʤalbɨraq / ʤalbɨrak / ʒapɨrak / barg˳ / ʤaprak / barak / ʤalbɨrak / ʒaprak / ʒaprak / ʒaprak / ʤaprak / ʒapərak / ʒaprak / ʒaprak / ʒaprak / ʒaprak / ʒaprak / ʒaprak / ʤaprak / ʤaparak / ʤaprak / barg˳ / barg˳ / bark / bak / barg / barg / barg˳ / barg˳ / barg / barg / ;barg / barg˳ / barg˳ / barg˳ / b̥arg˳ / bark / bark / barg / bark / bark / barg˳ / barg˳ / barg˳ / barg / barg / barg /  / barg˳ / barg / barg / barg /  / barg˳ / barg / barg˳ / barg˳ / barg˳ / barg˳ / barg˳ /  / barg˳ /  / barɣ / barg˳ / barg / barg / barg / barg / barg / 
root;təbɨr / tamər / tamər / tamər / tamər / tamər / tamər / tamɜr / tamɜr / tamɜr / tamɜr / butaq / tɒmɨr / tɒmɨr / tamɨr / tamɨr / tɒmɨr / tɒmɨr / tɒmɨr / tamɨr / tamɨr / tamər /  / tamər / tɒmɨr / tɒmɜr / tøbør / tamɜr / tamɜr / tøbør / tamɜr / tamɜr / tamɜr / tøbør / tøbør / tamɜr / tamɜr / tamɜr / tamɜr / reʃa / tamər / tamɜr / tɔmɜr / ildɪz̥ / tɒmər / ɨldɨz̥ / tɔmər / ildiz̥ / ildɨs / ;rʲeʃa / rʲeʃa / rʲeʃa / rʲeʃa / rʲeʃa / tɔmər / tɒmər /  / tɔmər / reʃa / reʃa / reʃa / reʃa / reʃa / reʃa / reʃa / reʃa / ildiz̥ / rʲeʃa / reʃa / reʃa / reʃa / reʃa / reʃa / rʲeʃa / reʃa / reʃa / reʃa / reʃa /  / reʃa / reʃa / reʃa / ildɨz̥ / rɪʃa / rɪʃa / rɪʃa / rɪʃa / iʧin / 
bark; / qabɜq /  /  / qabɜq / qabɜq /  / qaβɨq / qaβɨq / qaβɨq / qaβɨq / qaβɨq / butaq / qaβɨq / qaβʊq / qaβɨq / qaβɨq / qaβɨq / qaβɨq / qaβɨq / pustlɔq / qɒβɔq / qabɨq / pʊstlɔq / qaβɨq / qaβɨq / qaβɨq / qabɨq / qaβʊq / qabɨq / qaβɨq / qabɨq / qaβɨq / qaβɨq / qaβɨq / qaβɨq / qaβɨq / qabɨq / qaβɨq / pʉstlɔq / qɔbəq / pʊstlɒq /  / pustlɔq / pust / pʊst / qabɜq / pustlɔq / pʉstlɔq / ;pustlɔq / pøst / pøstlɒq /  / pøstlɔq / puslɒq / puslɔq /  / pustlɒq / pustlɒq / pust / pustlɔq / pustlɔq / pust / pust / pust / pustlɔq / pʉstlɔq / pʉstlɔq / pustlɔq / pust / pust / pustlɔq / pustlɔq / pustlɔq / pʊst / pust / pʊstlɔq / pust / pust / pust / puslɔq / pʉstlɔq / pʉst / pʊst / pʊst / pust / pʊst / pʊst / 
flower;gʊl / gʊł / gʊł / gʊł / gʉł / gʉł / gʉł / kʉl / gʉl / gʊl / gʊl / gyl / gyl / g˳yl / g˳ʉl / gyl / gʊl / gyl / g˳yl / gyl / gyl / gyl / gyl / gyl / kʊl / gʉl / gʉl / gʉl / gył / gʊł / gʊl / gʊl / gʉl / gʉl / gʉl / gʉl / gʊl / gʉl / gʉl / gul / gyl / gyl / gyl / gʉl / gʉł / gʊl / gʉl / gʊl / gul / ;gʊl / gul / gyl / kul / gul / gøl / gyl / gul / gøl / gul / gul / gul / gul / gul / guł / gł̩ / gl̩ / gul / gul / gl̩ / gʊl / gl̩ / gyl / gyl / gyl̥ / gʉl / gʉl / gʉl / gʊl / gʊl / gl̩ / gl̩ / gul / gul / gul / gul / gul / gul / gul / 
grass;ʃøp / wɔt / ʃøp / ʃøp / ʃøp /  / ʃøp / ʃøp / ʃøp / ʃøp / ʃɔp / ʧøp / ʧøp / ʧøp / ʧøp / ʧøp / ʧøp / ʧøp / ʧøp / ʧøp / ʧøp / wɔt / ʧøp / ʧøp / ʧøp / ʃøp / ʃøp / ʃøp / wɔtən / ʃøp / wɔt / ʃøp / ʃøp / ʃøp / ʃøp / ʃøp / wɔt / ʧøp / ʃøp / ʉt / køkat / køkat / ɔt / wɔt / wɔt / wɔt / wɔt / wʉt / ʉt / ;sabza / alaf / alaf / ʧøp / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / alaf / vajʃ / veʃ / veʃ / vajʃ / vajʃ / 
rope;ʒʲip / ʒɪp / ʒɪp / arqan / ʒʲɪp / ʒɪp / ʃɪp / ʒip / arχan / ʒip / ʒip / ʤip / arqan / arqan / ʤip / ʤip / ʤip / ʤip / ʤip / ʤip / ʤip / ʤip / ʤip / ʤip / ʤip / ʒip / arχan / ʒip / ʤip / ʒip / ʒip / ʒip / ʒip / ʒip / ʒip / arχan / ʤip / ʤip / ʒip / arqɔn / arqɒn / arqɔn / ip / arqɔn / ɪp / arqɔn / ɪp / ip / ip / ;resmɔn / respɔ̃n / arɣamʧin / rʲespɔ̃n / arɣamʧin / band / band / band / band / band / band / band / band / band / band / band / band / rʲespɔ̃ /  / band / band / band / arɣamʧin / arɣamʧin / arɣamʧin / respɔn / resmɔn / resmɔn / arɣamʧin / resmɔn / rɪʃta / respɔn / rɛspɔn / respɔn / vita / vita / vita / vita / vita / 
skin;tʲerɪ / tʲerɪ /  / tʲerə / tʲerɪ / tʲerɪ /  / tʲere / tʲere / tʲere / tʲerɛ / tere / terɪ / terɪ / tʲerɪ / tʲerɪ / terʲe / terɪ / terɪ / terɪ / tʲere / tʲere / tʲere / tʲere /  / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / tʲere / pʉst / tere / tʲerə / terə / tere / tʲerʲe / tere / tere / pʉst / tɪrə / ;pust / pøst / pøst / pøst / pøst / pust / pust / pust / pust / pust / pust / pust / pust / pust / pust / pust / pust / ʧarm / pʉst / pust / pust / pust / pust / pust / pust / pʊst / pʊʃt / pʊst / pʊst / pʊst / pʊst / pʊʃt / pʉst / pʉst / pust / ʧarm / pust / pust / pust / 
meat;jet / jɪt / jɪt / jɪt / jet / jɪt / jɪt / jet / jet / jet / jet / et / etʲ / jet / et / jet / jɪt / jet / jet / etʲ / et / et / et / et / et / gʉʃ / gʉʃ / gʉʃ / gøʃ / gʊʃ / gʊʃ / gʉʃ / gʉʃ / gʉʃ / gʉʃ / gʉʃ / gʉʃ / gʉʃ / gʉʃ / gʉʃt / gʉʃt / gʉʃt / gøʃ / gwʉʃt / gwʉʃt / gʉʃt / gʉʃt / gʉʃt / gʉʃt / ;guʃt / gøʃt / gøʃt / gøʃt / gøʃt / guʃt / guʃt / guʃt / guʃt / guʃt / gʊʃt / guʃt / gʊʃt / gʊʃt / guʃt / guʃt / guʃt / gʉʃt / gʉʃt / guʃt / guʃt / guʃt / guːʃt / guʃt / guːʃt / gʊʃt / gʊʃt / guʃt / guʃt / guʃt / guʃt / guʃt / gʉʃt / gʉʃt / jota / jɔta / jɔta / jɔta / jɔta / 
blood;qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qɔn / qɔn / qɒn / qɔn / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qan / qɔn / qɔn / qɔn / qɔn / qɔn / qɔn / qɔn / qɔn / qɔn / qɔn / ;xun / xun / xʊn / xun / xʊn / xən / xun / xun / xən / xən / xun / xun / xun / xun / xun / xun / xun / xun / xun / xun / xun / xun / xun / xʊn / xʊn / xn̩ / xʊn / xn̩ / xʊn / xən / xn̩ / xn̩ / xun / xun / vaxm̩ / vaxm̩ / vaxm̩ / vaxm̩ / vaxm̩ / 
bone;syjək / syjək / syjək / syjək / syjək / syjɪk / syjək / syjøk / syjək / syjøk / sʉjøk / søːjøk / sɨːjøk / søːjøk / søːjøk / søːjøk / søːjøk / syːjøk / sʉːjøk / søːjøk / syjøk / syjøk / søjøk / sʉjək / søːjøk / sʉjøk / sʉjøk / sʉjøk / syjək / syjək / syjək / syjøk / syjøk / syjøk / syjøk / sʉjøk / sʉjøk / sʉjøk / sʉjøk / sujak / syjæk / sujak / sʉjak / syjak / syjak / syjak / syjak / syjak / syjak / ;ustuhɔn / ustuhɔn / ustuxɔn / uʃtʊhɔn / ustuhɔn / ustuhɔn / istuhɔn / ustuhun / ustuhʊn / stuɣun / suɣun / ustuxun / ustuxɔn / ustuɣɔn / ustuɣɔn / astaɣʊn / astaɣʊn / syjak / ustaɣɔn / astaɣʊn / astaɣʊn / astaɣʊn / ystohɔn / ystəɣɔn / ystəɣɔn / əstʊɣɔn / əstəɣɔn / əstʊxɔn / ystʊxɔn / ystʊɣɔn / ystəxɔn / ustəɣɔn / syjak / ustaxɔn / stak / sitak / sɪtak / stak / stak / 
fat;maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / mɒj / jɔq / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / maj / jɔɣ / jɔɣ / jɔq / jɔq / jɔχ / mɒj / jɔχ / jog / jɔq / jɔʁ / ;rawɣan / rawɣan / rauɣan / ɣøran / røɣan / ruhan / rʊhan / rʊɣan / ruhan / ruɣan / ravɣan / ravɣan / ravɣan / rʊɣan / rawɣan / rʊɣan / ruɣan / rʉhan / rʉhan / rawɣan / rawɣan / rʊɣan / rʊɣan / ruɣan / raβɣan / rɔɣan / ravɣan / rawɣan / ravɣan / ravɣan / ravɣan / rawɣan / rʊhan / ryxan / ruɣʊn / ruɣan / ruɣani / ruɣun / ruɣɪn / 
egg;ʒʊmərtka / ʒʉmərtka / ʒʉmurtka / ʒʉmurtka / ʒʉmɨrtka / ʒʊmɨrtka / ʒʉmɨrtka / ʒʉmɨrtka / mɛjɪk / ʒʊmərtka / tqʊm / ʤumurtqa / ʤumurtqa / ʤumurtqa / ʤumurtqa / ʤumurtqa / ʤumurtqa / ʤumurtqa / ʤumurtqa / ʤumurtka / ʒumurtka / tuxum / ʤumurtka / ʤumurtka / ʤumurtqa / majik / majik / majik / majɛk / majɪk / txʊm / majek / majik / majik / majik / majik / majɪk / majɪk / majɪk / txum / txʊm / tuxum / txum / txʊm / txʊm / txʊm / txʊm / tuxum / txum / ;tuxum / txum / tuxum / txum / txum / txəm / txum / txəm / txum / txum / tuxum / tuxum / tuxum / txum / tuxum / txəm / txəm / txum / tuxum / txʊm / tuxum / txəm / txum / tuxʊm / txʊm / tx̩m / tx̩m / tʊxm / tuxm / tuxm / tx̩m / tx̩m / txum / txum / tʊxʊm / tuxm / tuxm̩ / tʊxum / tʊxʊm / 
horn;mʉjəz̥ / myjɪz̥ / myɪz / myjyz̥ / myjɨz̥ / myjɨz̥ / myjɨz̥ / myjiz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / myjyz̥ / ʃɔq / myjyz̥ / myjyz̥ / myjyz / ʃaq / ʃaq / ʃaq / ʃaq / ʃaq / ʃaq / ʃaq / ʃax / ʃaq / ʃaq / myjɪz̥ / ʃax / ʃax / ʃax / ʃɔx / ʃɔq / sɔx / ʃɒq / ʃɔx / ʃɒx / ʃɔx / ʃɒx / ʃɔx / ʃɔx / ;ʃɔx / ʃɔx / ʃɔx /  / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / ʃɔx / 
